country,variant,metric_version,grown_edges,place_id,metric,version,value,status,detail
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",betweenness_mean_road,0.1.0,0.007317269328912635,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",betweenness_mean_bike,0.1.0,0.0035287118573266944,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",betweenness_median_road,0.1.0,0.00035874437154649055,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",betweenness_median_bike,0.1.0,0.00010277767885416296,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",closeness_mean_road,0.1.0,0.00019401559216856084,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",closeness_mean_bike,0.1.0,5.988236456581891e-05,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",closeness_median_road,0.1.0,0.00019310294976336627,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",closeness_median_bike,0.1.0,5.6990450886081226e-05,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",clustering_mean_road,0.1.0,0.013983506633201864,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",clustering_mean_bike,0.1.0,0.019057519057519057,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",n_nodes_road,0.1.0,5578.0,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",n_nodes_bike,0.1.0,1443.0,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",n_edges_road,0.1.0,6470.0,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",n_edges_bike,0.1.0,2783.0,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",length_km_road,0.1.0,550.04234427372,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",length_km_bike,0.1.0,209.92268001150055,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",edge_length_avg_m_road,0.1.0,85.01427268527358,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",edge_length_avg_m_bike,0.1.0,75.43035573535772,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",k_avg_road,0.1.0,2.319827895302976,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",k_avg_bike,0.1.0,3.857241857241857,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",intersection_count_road,0.1.0,3533.0,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",intersection_count_bike,0.1.0,1013.0,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",intersection_density_per_km_road,0.1.0,6.423141848588038,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",intersection_density_per_km_bike,0.1.0,4.825586258447649,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",dead_end_proportion_road,0.1.0,0.3666188598063822,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",dead_end_proportion_bike,0.1.0,0.008316008316008316,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",three_way_proportion_road,0.1.0,0.5813911796342776,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",three_way_proportion_bike,0.1.0,0.003465003465003465,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",four_way_proportion_road,0.1.0,0.05198996055934026,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",four_way_proportion_bike,0.1.0,0.6985446985446986,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",self_loop_proportion_road,0.1.0,0.0017001545595054096,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",self_loop_proportion_bike,0.1.0,0.0,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",circuity_avg_road,0.1.0,1.0739762788808442,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",circuity_avg_bike,0.1.0,1.0412429628397908,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",linearity_mean_road,0.1.0,0.9639140533856835,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",linearity_mean_bike,0.1.0,0.9674688400402173,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",linearity_median_road,0.1.0,0.9999842662431873,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",linearity_median_bike,0.1.0,0.9992365950581258,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",orientation_entropy_road,0.1.0,3.527234819436966,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",orientation_entropy_bike,0.1.0,3.5566110392672825,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",orientation_order_road,0.1.0,0.05057583317918635,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",orientation_order_bike,0.1.0,0.024342653173684003,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",connectivity_ratio_road,0.1.0,0.3867766618842659,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",connectivity_ratio_bike,0.1.0,0.6437659033078881,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",meshedness_road,0.1.0,0.08008250381131737,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",meshedness_bike,0.1.0,0.5046858729607775,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",n_components_road,0.1.0,1.0,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",n_components_bike,0.1.0,114.0,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",components_per_km_road,0.1.0,0.0018180418478879246,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",components_per_km_bike,0.1.0,0.5430570912764383,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",lcc_length_share_road,0.1.0,1.0000000000000009,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",lcc_length_share_bike,0.1.0,0.32266888494718493,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",lcc_length_km_road,0.1.0,550.0423442737206,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",lcc_length_km_bike,0.1.0,67.73551708443559,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",component_size_gini_road,0.1.0,,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",component_size_gini_bike,0.1.0,0.8491784777782572,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",street_density_km2,0.1.0,8.1902638335964,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",cycle_network_density_km2,0.1.0,3.125799589520746,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",intersection_density_km2_road,0.1.0,52.60722638055014,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",intersection_density_km2_bike,0.1.0,15.083815545852616,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",low_stress_coverage,0.1.0,0.8236640408541621,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",lts1_coverage,0.1.0,0.36657982735289674,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",lts2_coverage,0.1.0,0.4570842135012653,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",bikeable_length_share,0.1.0,0.38164821708169394,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",entropy_gap_kl,0.1.0,0.04086185645200699,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",bike_lcc_share_of_road,0.1.0,0.12314600464783136,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",intersection_ratio_bike_road,0.1.0,0.28672516275120297,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",bike_offroad_share,0.1.0,0.9629596991352675,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",modal_directness_gap,0.1.0,1.1288953498479657,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",low_stress_route_fraction,0.1.0,0.09976190476190476,ok,
UK,baseline,0.5.0,4706,"South Tyneside, United Kingdom",mean_route_lts,0.1.0,1.4343063578728497,ok,
