place_id,stage,quantile,invested_km,bikeable_length_share,bike_lcc_share_of_road,low_stress_coverage,low_stress_route_fraction,mean_route_lts,cycle_network_density_km2,circuity_avg_bike,modal_directness_gap,predicted_rate
"Newcastle upon Tyne, United Kingdom",-1,0.0,0.0,0.3733157142676617,0.09288957490780106,0.78996130374401,0.03640350877192983,1.4648946353767616,3.054966816167586,1.0397065654697981,1.1877633395506288,2.713
"Newcastle upon Tyne, United Kingdom",0,0.01,2.071,0.37551428813013044,0.09288957490780106,0.7904286947388174,0.03640350877192983,1.4648946353767616,3.0729584782810098,1.0394649154957494,1.1877633395506288,2.745
"Newcastle upon Tyne, United Kingdom",1,0.02,5.133,0.3787644091688508,0.09288957490780106,0.7911189836820556,0.03640350877192983,1.4648946353767616,3.0995553011372263,1.0391130275917637,1.1877633395506288,2.818
"Newcastle upon Tyne, United Kingdom",10,0.11,26.753,0.4017125612111746,0.16920845712892574,0.7954851438363516,0.03640350877192983,1.4648946353767616,3.2873476717830616,1.0367964479168241,1.1877633395506288,4.394
"Newcastle upon Tyne, United Kingdom",20,0.21,55.772,0.43251480993273256,0.18856790525215275,0.799883470764464,0.03640350877192983,1.4648946353767616,3.539412731225569,1.0340866041709045,1.1877633395506288,6.986
"Newcastle upon Tyne, United Kingdom",30,0.31,85.261,0.4638158899287572,0.26077792001835015,0.806714678231816,0.03640350877192983,1.4648946353767616,3.7955598931141297,1.0317132832973879,1.1877633395506288,7.879
"Newcastle upon Tyne, United Kingdom",40,0.41,112.294,0.49251026441810636,0.3108928777972585,0.8132068180309862,0.03640350877192983,1.4648946353767616,4.0303755157235654,1.0298105408100977,1.1877633395506288,8.259
"Newcastle upon Tyne, United Kingdom",50,0.51,135.947,0.517617250428723,0.3449857400973956,0.8184745035086262,0.03640350877192983,1.4648946353767616,4.235834343694103,1.0283236279802044,1.1877633395506288,10.009
"Newcastle upon Tyne, United Kingdom",60,0.61,150.267,0.5328173677154946,0.3621386962620132,0.8215100274576611,0.03640350877192983,1.4648946353767616,4.360221965586838,1.0274934016752588,1.1877633395506288,13.187
"Newcastle upon Tyne, United Kingdom",70,0.71,170.668,0.5544719832569847,0.46954368669182,0.8261143682234748,0.03640350877192983,1.4648946353767616,4.537428896256484,1.0263913237075903,1.1877633395506288,15.376
"Newcastle upon Tyne, United Kingdom",80,0.81,183.28,0.5678589991850098,0.5026214329817039,0.8282806115243885,0.03640350877192983,1.4648946353767616,4.64697930590868,1.0257531376746611,1.1877633395506288,15.739
"Newcastle upon Tyne, United Kingdom",90,0.91,189.689,0.5746616507106972,0.5095834793326727,0.8302347639212119,0.03640350877192983,1.4648946353767616,4.7026476688483285,1.0254405249624585,1.1877633395506288,15.947
"Newcastle upon Tyne, United Kingdom",99,1.0,197.33,0.5827723700641371,0.5176941986861124,0.8333756328507816,0.03640350877192983,1.4648946353767616,4.769020386451749,1.0250775779517507,1.1877633395506288,16.125
"Gateshead, United Kingdom",-1,0.0,0.0,0.453549445330852,0.12214051249106415,0.7535438555922936,0.09916751678190451,1.3808159957557231,2.6615566337915957,1.0545991229370542,1.1738107662588355,1.889
"Gateshead, United Kingdom",0,0.01,3.787,0.4580285898305345,0.12348295206014896,0.7543898478471086,0.09916751678190451,1.3808159957557231,2.6878415226379366,1.0540363363539862,1.1738107662588355,2.202
"Gateshead, United Kingdom",1,0.02,7.294,0.46217597116069414,0.19720067920094506,0.755199606703233,0.09916751678190451,1.3808159957557231,2.712179531218451,1.0535254814738895,1.1738107662588355,2.56
"Gateshead, United Kingdom",10,0.11,38.811,0.4994479150289517,0.23982063014947344,0.7647025530109424,0.09916751678190451,1.3808159957557231,2.9309018568173815,1.0493340133098121,1.1738107662588355,5.163
"Gateshead, United Kingdom",20,0.21,65.753,0.5313094313491092,0.3234903438322269,0.7711281117410572,0.09916751678190451,1.3808159957557231,3.1178742608134096,1.0462387602094798,1.1738107662588355,11.809
"Gateshead, United Kingdom",30,0.31,95.782,0.5668224887974853,0.40499193701189934,0.7786898707143163,0.09916751678190451,1.3808159957557231,3.3262749426155835,1.0432165710099757,1.1738107662588355,15.086
"Gateshead, United Kingdom",40,0.41,118.593,0.5937988896860859,0.4373566458465273,0.7851542851460053,0.09916751678190451,1.3808159957557231,3.484580105327227,1.0411723983418497,1.1738107662588355,15.701
"Gateshead, United Kingdom",50,0.51,136.117,0.6145230708287953,0.45964720166272083,0.7924461021016428,0.09916751678190451,1.3808159957557231,3.6061954713432525,1.0397287367547505,1.1738107662588355,16.673
"Gateshead, United Kingdom",60,0.61,149.849,0.630762942069959,0.47677458656067984,0.7967033060364862,0.09916751678190451,1.3808159957557231,3.701495636471468,1.0386663143651436,1.1738107662588355,17.341
"Gateshead, United Kingdom",70,0.71,164.223,0.647761870265855,0.5447460821445512,0.8052911579945227,0.09916751678190451,1.3808159957557231,3.8012501628475945,1.0376134449082581,1.1738107662588355,17.249
"Gateshead, United Kingdom",80,0.81,178.024,0.6640822975283343,0.5610665094070302,0.809579820369727,0.09916751678190451,1.3808159957557231,3.897023053530061,1.0366551767606182,1.1738107662588355,17.583
"Gateshead, United Kingdom",90,0.91,185.509,0.6729351164157883,0.571592389084193,0.8136525834263766,0.09916751678190451,1.3808159957557231,3.9489739027268245,1.036155523585019,1.1738107662588355,17.552
"Gateshead, United Kingdom",99,1.0,192.697,0.6814350614526292,0.5800923341210337,0.8170589524436732,0.09916751678190451,1.3808159957557231,3.998853988200559,1.035688439117175,1.1738107662588355,18.029
"Sunderland, United Kingdom",-1,0.0,0.0,0.3257615556291147,0.0525458049018355,0.7770797672723254,0.01788390574426015,1.384686963436924,2.661591553908264,1.0578875908523444,1.1970385958284717,1.684
"Sunderland, United Kingdom",0,0.01,4.813,0.32998015895091365,0.05579439814460165,0.7783625654675503,0.01788390574426015,1.384686963436924,2.6960590924393393,1.0571052705937618,1.1970385958284717,1.752
"Sunderland, United Kingdom",1,0.02,10.838,0.3352601377626503,0.08789588321552212,0.779665123227976,0.01788390574426015,1.384686963436924,2.7391984585410056,1.056155422211491,1.1970385958284717,2.082
