STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRAN_MODE,Mode of transport,TERRITORIAL_LEVEL,Territorial level,TRAVEL_TIME,Travel time,SERVICE,Service,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA166F,Shawnee,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2023,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA199F,Midland,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2016,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA199F,Midland,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2017,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA200F,Ector,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2019,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA207F,Terrebonne,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2022,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA207F,Terrebonne,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2023,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA211F,Maverick,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2017,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA211F,Maverick,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2023,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,IT019F,Campobasso,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2011,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,IT022F,Potenza,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2011,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,PT007F,Ponta Delgada,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2011,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,PT015F,Guimarães,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2011,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA07F,Dallas,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2023,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA101F,Caddo,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2011,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA101F,Caddo,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2012,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA101F,Caddo,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2015,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA101F,Caddo,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2016,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA101F,Caddo,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2021,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA101F,Caddo,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2022,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA101F,Caddo,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2023,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA102F,Tulare,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2022,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA102F,Tulare,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2023,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA105F,Genesee,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2011,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA105F,Genesee,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2014,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA105F,Genesee,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2017,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA105F,Genesee,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2018,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA105F,Genesee,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2019,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA105F,Genesee,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2020,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA105F,Genesee,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2021,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA105F,Genesee,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2022,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA105F,Genesee,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2023,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA106F,Jefferson (TX),A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2016,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA106F,Jefferson (TX),A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2017,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA106F,Jefferson (TX),A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2019,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA106F,Jefferson (TX),A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2021,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA110F,Mobile,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2011,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA110F,Mobile,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2014,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA110F,Mobile,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2015,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA110F,Mobile,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2016,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA110F,Mobile,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2017,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA110F,Mobile,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2018,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA110F,Mobile,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2019,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA110F,Mobile,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2020,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA110F,Mobile,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2021,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA110F,Mobile,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2022,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA110F,Mobile,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2023,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA111F,Berks,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2023,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA112F,Cameron,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2015,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA112F,Cameron,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2016,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA112F,Cameron,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2021,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA112F,Cameron,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2022,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA112F,Cameron,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2023,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA113F,Bell,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2011,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA113F,Bell,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2021,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA113F,Bell,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2022,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA113F,Bell,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2023,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA114F,Nueces,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2022,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA117F,Scott,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2023,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA118F,Stark,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2012,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA118F,Stark,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2013,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA118F,Stark,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2014,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA118F,Stark,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2015,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA118F,Stark,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2019,,0.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_TRAN@DF_TRAN_COMMUT(1.2),Main mode of transport to work - Cities and FUAs,I,USA118F,Stark,A,Annual,COMMUT,Employed persons commuting to work,PT_WR,Percentage of workers,BIKE,Bicycle,FUA,FUA,_Z,Not applicable,_Z,Not applicable,2021,,0.1,,A,Normal value,0,Units,1,One
