place_id,country,is_uk,metric_version,betweenness_mean_bike,betweenness_mean_road,betweenness_median_bike,betweenness_median_road,bike_lcc_share_of_road,bike_offroad_share,bikeable_length_share,circuity_avg_bike,circuity_avg_road,closeness_mean_bike,closeness_mean_road,closeness_median_bike,closeness_median_road,clustering_mean_bike,clustering_mean_road,component_size_gini_bike,component_size_gini_road,components_per_km_bike,components_per_km_road,connectivity_ratio_bike,connectivity_ratio_road,cycle_network_density_km2,dead_end_proportion_bike,dead_end_proportion_road,edge_length_avg_m_bike,edge_length_avg_m_road,entropy_gap_kl,four_way_proportion_bike,four_way_proportion_road,intersection_count_bike,intersection_count_road,intersection_density_km2_bike,intersection_density_km2_road,intersection_density_per_km_bike,intersection_density_per_km_road,intersection_ratio_bike_road,k_avg_bike,k_avg_road,lcc_length_km_bike,lcc_length_km_road,lcc_length_share_bike,lcc_length_share_road,length_km_bike,length_km_road,linearity_mean_bike,linearity_mean_road,linearity_median_bike,linearity_median_road,low_stress_coverage,low_stress_route_fraction,lts1_coverage,lts2_coverage,mean_route_lts,meshedness_bike,meshedness_road,modal_directness_gap,n_components_bike,n_components_road,n_edges_bike,n_edges_road,n_nodes_bike,n_nodes_road,orientation_entropy_bike,orientation_entropy_road,orientation_order_bike,orientation_order_road,self_loop_proportion_bike,self_loop_proportion_road,street_density_km2,three_way_proportion_bike,three_way_proportion_road
"'s-Hertogenbosch, Netherlands",NL,False,0.5.0,0.0054758207051762,0.0126875011742308,6.353175793948487e-05,0.0027159371301172,0.4355562206717763,0.9873710959100696,0.7655376719644854,1.0317485348543325,1.1100389258654657,7.757559029210452e-05,0.0002381292548744,8.781233397545313e-05,0.0002359781010936,0.0063317503957344,0.0266064981949458,0.8849088298804593,0.49973454588693,0.7951518806919435,0.0045426770119633,0.5443027423522547,0.4432803468208092,5.67292890124913,0.0337415646088477,0.2169675090252707,51.6144759547392,119.60582168826008,0.0287680400161625,0.4691327168207948,0.0891696750902527,2056.0,2169.0,34.60554930773138,36.507508000228285,6.100120398144163,4.926533219474283,0.9479022591055786,3.264183954011497,2.6577617328519856,191.7619146264268,440.15215840971206,0.5689546532100416,0.9997345458869312,337.04252798444696,440.2690296344854,0.9842435520607814,0.9568960782915252,0.9999982917103518,0.9996275683468144,0.7734932737521363,0.6569147694558131,0.4196259622896299,0.3538673114625063,1.1704334839309152,0.3497561585594598,0.1649503161698283,1.0557602809872002,268.0,2.0,6530.0,3681.0,4001.0,2770.0,3.568217248373281,3.5619650204079787,0.0138796998683854,0.0195229932299302,0.0,0.0013583265417006,7.410385026110521,0.0447388152961759,0.6938628158844765
"A Coruña, Spain",ES,False,0.5.0,0.0049298836053823,0.0171776440890146,0.0008472784855425,0.0053765838824125,0.0714215632078251,1.0,0.3175396431850426,1.0605822713698398,1.0863015592689462,0.000179129650398,0.0003054826754506,0.0001500762760703,0.0003080907470214,0.0,0.0290632911392405,0.7344814696303128,0.4998449966827933,0.507939927066634,0.0063251397333402,0.5505952380952381,0.4766007771583038,2.601444730971992,0.0311942959001782,0.1453164556962025,54.27328331279443,112.08739740039525,0.0663059757657259,0.5971479500891266,0.1417721518987341,689.0,1688.0,17.85155291620312,43.73500917641636,6.862168818606095,5.338417934939143,0.408175355450237,3.2976827094474155,2.8567088607594937,22.58339458695513,316.1495362426679,0.2249217215571569,0.9998449966827908,100.4055741286697,316.19854806651495,0.9750525785395564,0.9608944254231304,1.0,0.9983380495971056,0.7732646497837197,0.3934035203158414,0.3628933870997984,0.4103712626839212,1.5143389930355915,0.3479231799910674,0.2149556400506971,1.1511137088962422,51.0,2.0,1850.0,2821.0,1122.0,1975.0,3.537161434338769,3.569210538090417,0.0417512842584237,0.012981660700986,0.0021621621621621,0.0010634526763559,8.192503792214787,0.016934046345811,0.7129113924050633
"Aachen, Germany",DE,False,0.5.0,0.0005525732571964,0.0117751909586873,9.269355220816876e-06,0.0023178165371644,0.0869584369262171,0.8609166760126653,0.6238526521196248,1.0354688095636988,1.0704425806148967,3.399716215266366e-05,0.0001524292465584,2.5551226125129377e-05,0.0001508257579167,0.0086261690729138,0.0236048749198203,0.7988186370784329,0.4986969882637884,0.8053727633304121,0.0028628714207896,0.5654583446897429,0.4250106974753958,2.708377430604272,0.022337237809861,0.2761385503527902,70.02298079861936,175.83672546830894,0.022955985610333,0.5679651321165895,0.0987812700449005,2170.0,2257.0,13.48524191304171,14.025894469002369,4.9790851750056815,3.230750398361151,0.9614532565352236,3.3909016616725687,2.5484284797947403,60.74910406016838,697.6890271853811,0.1393893840649132,0.99869698826379,435.82303249060686,698.5993102855914,0.9767665978925526,0.9645682373357554,0.9998989304373684,0.9969964652258212,0.7558403840591634,0.1682080028932344,0.4966183552573032,0.2592220288018603,1.447022320090586,0.3958020989505247,0.1375381158722516,1.164395233276091,351.0,2.0,6224.0,3973.0,3671.0,3118.0,3.558303823573115,3.554245109339223,0.0228200905425631,0.0264686827476808,0.0009640102827763,0.0012584948401711,4.341373594232851,0.023154453827295,0.6250801796023092
"Abbotsford, Canada",CA,False,0.5.0,0.0003748352881467,0.0130429050472708,1.7759546303237433e-05,0.0020882996560154,0.0706565987911798,1.0,0.3658115827957128,1.1651435479326788,1.0695690636056476,5.446818401372705e-05,0.0001269507097827,4.5958389481420215e-05,0.0001344173475601,0.0293115201090661,0.0177018253093225,0.7589204915102898,,0.3529297332498913,0.0010246490820302,0.677815699658703,0.4057864410935393,0.9268047067493382,0.0143149284253578,0.3311282616685042,119.84275770158816,294.84709343296777,0.2953559767608614,0.6871165644171779,0.0951855935317897,1023.0,1820.0,2.655715615080372,4.724733547845823,2.865453310433641,1.8648613292950544,0.5620879120879121,4.061349693251533,2.432929070194781,68.95687511980218,975.9438792631228,0.1931502503315702,0.9999999999999994,357.01157519303115,975.9438792631232,0.9285719402487234,0.9587426343809186,0.9826333157681744,0.9989877186977912,0.6716798906136984,0.0164234737364356,0.4416939196276237,0.2299859709860747,1.8368431193636985,0.5592352338682144,0.1085157255839617,1.228037171597089,126.0,1.0,2979.0,3310.0,1467.0,2721.0,3.534562507005,3.139686123580507,0.0440656199087436,0.363191242445971,0.0020140986908358,0.0015105740181268,2.5335575753677317,0.0102249488752556,0.573686144799706
"Aberdeen, United Kingdom",UK,True,0.5.0,0.0001414759400678,0.0071698245866968,6.369424735211428e-06,0.0003752212269485,0.0248757527209816,0.986186239657578,0.3511610581034143,1.0570738639142556,1.080910111465644,3.400562043717098e-05,0.0001370738765893,3.09956324153466e-05,0.000135913975457,0.0090788601722995,0.0179367285900838,0.7493859453548408,,0.6942509719842186,0.0010074128343442,0.6193129062209842,0.3986853747945898,1.6955552464164798,0.010337972166998,0.3266776191077973,74.65776691011864,104.90823413971708,0.0190641861397337,0.6715705765407555,0.0442310122583091,1696.0,5328.0,8.24971458215033,25.91655618732132,4.865494415228243,5.367495581386023,0.3183183183183183,3.7129224652087474,2.3915076456464046,24.6927097540648,992.6417114300046,0.07083858573423,1.0000000000000018,348.5771137033439,992.6417114300028,0.9614354395022058,0.963425314325266,0.9984154764749632,0.99913970176917,0.7403274722586178,0.008278061870285,0.4062922383778166,0.3340352338808012,1.6949714655879853,0.4768159203980099,0.0979710511345679,1.175071847511139,242.0,1.0,4669.0,9462.0,2515.0,7913.0,3.527745747329987,3.553562833560345,0.0501226256465447,0.0270813464075401,0.0,0.0011625449165081,4.828426180209171,0.0027833001988071,0.6290913686338936
"Accra, Ghana",GH,False,0.5.0,0.0304093567251462,0.0051222822233059,0.0350877192982456,0.0005128981432659,0.0005155026717043,1.0,0.000982073412258,1.1684369031361734,1.0439949372057598,0.0016312643547623,8.840589794906259e-05,0.001546309210497,8.753836355781615e-05,0.0,0.0143589433109321,0.4278511036720178,0.4999430852309947,1.6067485314667185,0.000788972506469,0.5925925925925926,0.4353214249672015,0.0108738012151038,0.0,0.2407216806926197,77.79686587663716,117.532575046762,1.2204775652245157,0.55,0.0926318338681358,11.0,12541.0,0.0480465263680302,54.77740792558792,4.418558461533475,4.94725210181439,0.0008771230364404,3.2,2.611612278258764,1.3067696718898305,2534.7983029372595,0.5249125628185576,0.9999430852309946,2.489499708052389,2534.9425786085626,0.8688835521729394,0.976938014997367,0.9999797814729712,0.9999766080480929,0.8228727878992598,0.0088721804511278,0.2092653175371999,0.6136074703620601,2.103548000163883,0.4571428571428571,0.1529867692028217,1.1309937271003585,4.0,2.0,32.0,21568.0,20.0,16517.0,2.1836605782403185,3.5378925767730736,0.8683057641938537,0.0410997001718236,0.0,0.0002781899109792,11.072289585868983,0.0,0.6666464854392444
"Acireale, Italy",IT,False,0.5.0,0.119047619047619,0.0222371892131881,0.0952380952380952,0.0061515935062929,0.0035338247169739,1.0,0.0068958672589582,1.095987896917083,1.0850300903772685,0.0028573914168764,0.0002385957016971,0.0032151268716022,0.0002426949694574,0.0,0.0233171408743927,0.0124554438578092,0.4981593909175386,1.120773633855763,0.0077287062064095,0.6666666666666666,0.4246004169562196,0.0446198920943171,0.0,0.2671755725190839,148.70680539948862,141.17595428602493,2.0221149854612808,0.5,0.0763358778625954,4.0,1056.0,0.1000175972095996,26.40464566333432,2.241547267711526,4.080756876984265,0.0037878787878787,3.0,2.544066620402498,0.9144673435880616,258.2992196261108,0.5124554438578091,0.998159390917538,1.7844816647938635,258.77552420628365,0.9704648042929986,0.9599884865961592,0.998162534918244,0.9967528371577616,0.6074995313514262,0.0700636942675159,0.2112126986962546,0.3962868326551717,2.346990828899874,0.5454545454545454,0.1369482099409106,1.077035404392578,2.0,2.0,12.0,1833.0,8.0,1441.0,1.4855697554356522,3.529885307867965,0.9979585706942582,0.0482236001332805,0.0,0.000545553737043,6.470526536941773,0.0,0.6564885496183206
"Ada, United States",US,False,0.5.0,0.0119047619047619,0.0170616757383686,0.0,0.0030081202795504,0.001035072557234,1.0,0.0012814847239016,1.0979016344478216,1.1063362172926028,0.0038616723291418,4.294724380681258e-05,0.003364780399431,4.327531721271949e-05,0.0,0.0032944754181449,0.498530136423265,0.499865032713227,1.4028324567976802,0.0011984722423864,0.5555555555555556,0.3659732792152883,0.0014073818048462,0.0,0.4206791687785098,213.8530503384744,771.1604700202336,2.1142165066597625,0.25,0.0344652812975164,2.0,1143.0,0.0013162139166298,0.7522162533539636,0.93522163786512,0.6849268865238405,0.0017497812773403,2.5,2.193613786112519,1.727320034000969,1668.566024895621,0.8077135356578106,0.9998650327132272,2.138530503384744,1668.7912571237853,0.9588184827841848,0.939716761980337,0.9602768565188424,0.9788516332227446,0.5225465253099753,0.0211528822055137,0.2069007937083821,0.315645731601593,2.773514835185484,0.4545454545454545,0.0489723420451662,1.0743537608331888,3.0,2.0,10.0,2164.0,8.0,1973.0,1.427608116012864,3.562948829672681,0.999646458467016,0.0186360754888348,0.0,0.0,1.098243138288281,0.0,0.5448555499239737
"Adelaide, Australia",AU,False,0.5.0,0.0004302064217121,0.0032673822437322,2.383612662942272e-06,0.0001155470168475,0.0385428534310309,0.9979877776494502,0.265497046332633,1.0852540374164872,1.061664881100603,7.776132693963928e-06,4.264455245508462e-05,7.271763238406419e-06,4.46181467867428e-05,0.0148680519351555,0.0175456004053369,0.8639391323398515,0.7499771839803584,0.3860681089392163,0.000456569900252,0.646927374301676,0.442567805317457,1.430343820595424,0.0171296641096298,0.2100363114338794,89.27324696991339,139.31084651033842,0.1037994603512809,0.7230952558278096,0.075050667117041,9777.0,37419.0,6.012203206715816,23.01019042570309,4.203327284074296,4.271097274382945,0.2612843742483764,3.880986072838311,2.6552947137307887,337.6731879149513,8760.621538140873,0.145172437748109,0.9999590254537536,2326.0144498010936,8760.980515342162,0.9659262741204044,0.9710137596612586,0.9978702079790382,0.999990608715434,0.7977465990099539,0.1166861878313875,0.259989711835302,0.5377568871746516,1.2960153205700322,0.5037804015047115,0.163874550041697,1.2015946539496831,898.0,4.0,26055.0,62888.0,13427.0,47368.0,3.526296521827043,3.2816190822711166,0.0514078481106512,0.255922181624715,0.0008443676837459,0.0016060297672051,5.387418957585653,0.0050644224324123,0.7149130214490795
"Agueda, Portugal",PT,False,0.5.0,0.0004906658236435,0.0132072499352259,0.0,0.0030175831791936,0.0074130071710837,1.0,0.0391721647456635,1.1361017950187244,1.1423986241407154,0.0002999917011398,0.0001020868219807,0.000130224263751,0.0001033251870927,0.0,0.0354396901860772,0.5780510218465789,,1.0232712486872733,0.0010548355245547,0.525879917184265,0.4239674888951895,0.1108451921209145,0.0,0.2561632190422216,146.2039507164149,211.32748439165016,0.168317328223049,0.5030674846625767,0.0532728818362142,82.0,2625.0,0.2447585591712898,7.835258753958975,2.208111641904116,2.768943251956097,0.0312380952380952,3.1165644171779143,2.5423632757155,7.027642697389377,948.0150949809406,0.1892417031127795,0.9999999999999978,37.13580348196938,948.0150949809426,0.931234912492757,0.9409836658111188,0.9890585730186032,0.985358035569008,0.5778799086019858,0.0115058921813095,0.0676043783302348,0.5102755302717509,2.3674431920999632,0.4018691588785046,0.1358287253650928,1.0714363335972474,38.0,1.0,254.0,4486.0,163.0,3529.0,3.441360501067429,3.5789623152195427,0.1252122134651974,0.0041433165287507,0.0078740157480314,0.0013374944271065,2.829692789270354,0.0,0.6905638991215641
