place_id,country,is_uk,metric_version,betweenness_mean_bike,betweenness_mean_road,betweenness_median_bike,betweenness_median_road,bike_lcc_share_of_road,bike_offroad_share,bikeable_length_share,circuity_avg_bike,circuity_avg_road,closeness_mean_bike,closeness_mean_road,closeness_median_bike,closeness_median_road,clustering_mean_bike,clustering_mean_road,component_size_gini_bike,component_size_gini_road,components_per_km_bike,components_per_km_road,connectivity_ratio_bike,connectivity_ratio_road,cycle_network_density_km2,dead_end_proportion_bike,dead_end_proportion_road,edge_length_avg_m_bike,edge_length_avg_m_road,entropy_gap_kl,four_way_proportion_bike,four_way_proportion_road,intersection_count_bike,intersection_count_road,intersection_density_km2_bike,intersection_density_km2_road,intersection_density_per_km_bike,intersection_density_per_km_road,intersection_ratio_bike_road,k_avg_bike,k_avg_road,lcc_length_km_bike,lcc_length_km_road,lcc_length_share_bike,lcc_length_share_road,length_km_bike,length_km_road,linearity_mean_bike,linearity_mean_road,linearity_median_bike,linearity_median_road,low_stress_coverage,low_stress_route_fraction,lts1_coverage,lts2_coverage,mean_route_lts,meshedness_bike,meshedness_road,modal_directness_gap,n_components_bike,n_components_road,n_edges_bike,n_edges_road,n_nodes_bike,n_nodes_road,orientation_entropy_bike,orientation_entropy_road,orientation_order_bike,orientation_order_road,self_loop_proportion_bike,self_loop_proportion_road,street_density_km2,three_way_proportion_bike,three_way_proportion_road
"Aix, France",FR,False,0.5.0,0.0032619997491575,0.0121642888649316,1.2121016226000386e-05,0.0020421147898513,0.0227000119882979,0.9922664138401732,0.1520192795444015,1.076493754808511,1.1143516341233537,0.000103497262631,0.0001595947419696,7.882887258898007e-05,0.0001571583195657,0.0,0.0197375862458997,0.5635531123380986,0.8561682253597613,1.4539708094794088,0.0104541970577672,0.4868951612903225,0.4022637238256932,0.5428593341568784,0.1177062374245472,0.3311842551747539,70.24859496581185,188.4039199029268,0.0637707530620981,0.4305835010060362,0.0736342042755344,465.0,1971.0,2.4799003774706154,10.511577729020608,4.568219097350845,2.943603200122745,0.2359208523592085,2.915492957746479,2.4119443501866304,15.199644988519356,668.7564666804606,0.149323244106467,0.9987588409048116,101.79021410546136,669.5875313350018,0.9634187485420952,0.9461103212620844,0.9980980900905958,0.9938459239832492,0.6726678911464891,0.0078390048319111,0.4418373997009214,0.2308304914455676,2.160207503272184,0.3040847201210287,0.1042621837323824,1.127946728223383,148.0,7.0,1449.0,3554.0,994.0,2947.0,3.5347036669305028,3.559780534735986,0.0439399893542039,0.0214909038655908,0.0,0.0025323579065841,3.570990046682341,0.0372233400402414,0.5951815405497116
"Aix-en-Provence, France",FR,False,0.5.0,0.0032619997491575,0.012242511635294,1.2121016226000386e-05,0.0020271831464492,0.0227032700382277,0.9922664138401732,0.152041098317154,1.076493754808511,1.1144793697233628,0.000103497262631,0.0001581678001008,7.882887258898007e-05,0.0001561215492322,0.0,0.0197509903791737,0.5635531123380986,0.856168085474416,1.4539708094794088,0.0104556975105426,0.4868951612903225,0.4024238305583871,0.5428593341568784,0.1177062374245472,0.3307300509337861,70.24859496581185,188.42990196175896,0.0629723601533661,0.4305835010060362,0.0736842105263157,465.0,1971.0,2.4799003774706154,10.511577729020608,4.568219097350845,2.94402568475423,0.2359208523592085,2.915492957746479,2.412903225806452,15.199644988519356,668.660377015588,0.149323244106467,0.9987586627657729,101.79021410546136,669.4914416701296,0.9634187485420952,0.9461744233784094,0.9980980900905958,0.9938721410399376,0.6726678911464891,0.0078390048319111,0.4418373997009214,0.2308304914455676,2.160207503272184,0.3040847201210287,0.1045029736618521,1.127946728223383,148.0,7.0,1449.0,3553.0,994.0,2945.0,3.5347036669305028,3.560065356309321,0.0439399893542039,0.0212344322444381,0.0,0.0025330706445257,3.570477589056131,0.0372233400402414,0.5955857385398982
"Akron, United States",US,False,0.5.0,0.0152537249663007,0.0089985539841601,0.0042660612844213,0.0024071183516918,0.0393338815423595,0.9769954634335858,0.073132322003896,1.125673444464914,1.030900797106289,0.000336619420369,0.000141539649883,0.0001566456341808,0.0001396758172199,0.0106689734717416,0.0189841888672298,0.8016597882711758,0.6664716389491196,0.1934328675443093,0.002233609698219,0.6695601851851852,0.4930126746831329,0.6087431858813289,0.0034602076124567,0.1668291098115659,84.89653632913536,147.56288479419683,0.5159898419695974,0.8062283737024222,0.2884990253411306,474.0,5129.0,2.9375760831800948,31.786556393735665,4.82564101136856,3.818728047388524,0.0924156755702866,4.003460207612457,2.957115009746589,52.83001982000951,1342.7990502654395,0.5378453803266914,0.9997629938107444,98.22529253280962,1343.1173773967796,0.9723766516802208,0.9855150770786252,0.99991730062395,0.9999653363134308,0.8303458938277783,0.0215538847117794,0.3676360132735958,0.4627098805541824,1.7486020018115385,0.5195482189400521,0.2396197286097343,1.2199276110180548,19.0,3.0,1157.0,9102.0,578.0,6156.0,3.502336563663576,2.9014802227540626,0.0725302501749223,0.5244645238042125,0.0017286084701815,0.0003295978905735,8.323859672456441,0.0138408304498269,0.5446718648473035
"Alachua, United States",US,False,0.5.0,0.0107241603308602,0.0063106957895434,0.0014201796544243,0.000310785353297,0.2679373420720941,0.999706213558711,0.3224328268858563,1.0706800648989885,1.0811507223710295,0.0001131962369506,4.899399399158175e-05,0.0001269432792523,5.281582550813272e-05,0.0108830109224898,0.0297827629496206,0.960261907771097,,0.1097568995553049,0.0002359281826256,0.7311944718657453,0.42368162463151,0.544877761286196,0.0033557046979865,0.2992467660062223,61.502933280458215,273.06906204798474,0.0467113302206916,0.8611330438215554,0.1395939086294416,8739.0,8559.0,3.484186499859695,3.412421587401205,6.394436968092064,2.019309315092736,1.0210304942166142,4.386300829056455,2.5416734894383493,1135.6733184235995,4238.577981108832,0.8309865489190589,1.000000000000003,1366.6566804250622,4238.57798110882,0.9827925695901208,0.9579522253279108,0.99999999264752,0.9999264879985832,0.8357781405690532,0.3277694235588972,0.4346564124031078,0.4011217281659455,1.3733350186856672,0.6041265610346019,0.1354870409040658,1.080203406566155,150.0,1.0,22221.0,15522.0,10132.0,12214.0,3.127093310598112,3.226670091821276,0.372305482481988,0.2984411644311864,0.0008100445524503,0.0043164540651977,1.6898954320153234,0.0013817607579944,0.561159325364336
"Albany, United States",US,False,0.5.0,0.0277329781361749,0.0183794094224865,0.0051599587203302,0.008443463637151,0.0345254666157527,0.9906768504263468,0.0943720143186535,1.2357882541917145,1.0660506888349108,0.000303518820219,0.0002401649034007,0.0002739447103393,0.0002467107879934,0.0145348837209302,0.0165479452054794,0.5811651300768503,0.4893531301340559,0.2730567692540713,0.0046852576977909,0.6588235294117647,0.4902175900530261,0.7081681782418418,0.0116279069767441,0.1610958904109589,119.89483112807729,159.2207622811849,0.2378905883888694,0.7674418604651163,0.2575342465753424,134.0,1530.0,2.3555995807691503,26.89602506400597,3.3263279163677777,3.584222138810114,0.0875816993464052,3.9069767441860463,2.938082191780822,14.73791575307833,422.32602514073767,0.3658443328249319,0.989353130134058,40.28466325903396,426.8708636758568,0.9438311524802916,0.9797453801648957,0.9993731050614384,0.9999957912358444,0.8067264366092755,0.1388179589075843,0.5065682752437557,0.3001581613655198,1.806177032409517,0.5162241887905604,0.2353909465020576,1.1567464721039895,11.0,2.0,336.0,2681.0,172.0,1825.0,3.296482271668905,3.1844786412957173,0.2442062647058761,0.3302395522809604,0.0119047619047619,0.0014919806042521,7.5040061755030845,0.0116279069767441,0.5808219178082191
"Albuquerque, United States",US,False,0.5.0,0.0013062261275647,0.0047973044175708,2.447979958146353e-06,0.0003207832935897,0.0570487547201601,1.0,0.2145766154869648,1.0614495737702387,1.0646957792203593,1.9258839613503364e-05,6.977864559135778e-05,1.2791349187767057e-05,7.01348196786522e-05,0.0139101192295933,0.0249625903690482,0.7686441737206504,0.9085072039862054,0.4782885364245151,0.003042924229364,0.6187417151014581,0.4574746218063144,1.496633763019389,0.0097829409966371,0.2180215263129428,127.83164145736046,142.477683066297,0.0484498427114345,0.6658514215836135,0.1798366596354589,2187.0,14457.0,4.219688416535615,27.8939348138342,2.8194529087881794,3.9992323258105063,0.1512761983814069,3.7101803729746257,2.744550813997512,206.22804073334405,3609.500579560938,0.2658665977683191,0.9984942517681304,775.6824003632634,3614.943774758088,0.9686392445331184,0.9703458998824536,0.995107461751322,0.999991237694096,0.8315859535592486,0.0925062656641604,0.4147801697827594,0.4168057837764894,1.509004899211763,0.4846259752179899,0.1864603900143348,1.2357037182241657,371.0,11.0,6068.0,25372.0,3271.0,18489.0,3.4035813218584154,3.208982028961422,0.1570797908417959,0.3118618843118008,0.000659195781147,0.0011035787482263,6.974822301222788,0.0027514521553041,0.6020877278381741
"Alessandria, Italy",IT,False,0.5.0,0.0031279030954639,0.0059320021741228,2.797200067148417e-05,0.0001992250251003,0.0061852805467513,0.9710410064025192,0.0470117256574676,1.177414923510469,1.1527648111723354,8.506684737939365e-05,2.592113088691372e-05,5.745656491277388e-05,2.5916059089486085e-05,0.0054663875319841,0.0235798094338136,0.6536604893419649,0.4999537236449713,0.5345925353528924,0.0002855922455743,0.5953878406708596,0.4105750602466569,0.0925409017613825,0.0069783670621074,0.3049846444601937,128.80387478455273,268.65351828433944,0.0395740347050962,0.6706210746685276,0.0705882352941176,963.0,14710.0,0.2706887688096102,4.134820134153028,2.9250716565047465,2.100530966199131,0.0654656696125084,3.567341242149337,2.4632175761871014,43.31546561646205,7002.667188208041,0.1315688896812243,0.9999537236449751,329.22270394931684,7002.991261117875,0.9450934431936192,0.938396814066128,0.9999057489713098,0.9940788529460104,0.3796679717855327,0.0010740314537782,0.1564985303200415,0.2231694414654912,2.789852033251771,0.4540370499825236,0.1158653278204371,1.1069207372216048,176.0,2.0,2556.0,26067.0,1433.0,21165.0,3.5325707504331105,3.5779481276384977,0.0458373781974068,0.0050643423518647,0.0007824726134585,0.0010357923811715,1.968464260079395,0.0013956734124214,0.6244271202456886
"Alexandria, United States",US,False,0.5.0,0.0038428471489457,0.0162733547340373,0.0002599637681159,0.0044128483703353,0.0854193128919467,0.991020761656014,0.3046956939271419,1.0343681200993944,1.0685675249061637,0.0001562916099877,0.0002307981399771,0.0001103982810019,0.0002342859747342,0.0103978300180831,0.0182633317602642,0.8129375063714614,0.666160636958359,0.5451522324325663,0.0076664094349371,0.6769323671497585,0.4637065029129271,2.997644785074085,0.0045207956600361,0.2199150542708824,53.18142296637315,132.87520451486583,0.0835436643107557,0.7685352622061483,0.2180273714016045,852.0,1653.0,21.420233540350416,41.55827000258127,7.145687723577638,4.224191598650364,0.515426497277677,4.054249547920434,2.779613025011798,33.42607003325819,391.1034386978095,0.2803430261550463,0.999453030823082,119.2327502906086,391.31747729627983,0.9778705688341408,0.9716076479469922,0.9999997188384117,0.9999610746158712,0.8196241543750369,0.1251977772995962,0.499268200636814,0.3203559537382229,1.5229953238334906,0.5441776166742184,0.1958421922986062,1.2020115911103462,65.0,3.0,2242.0,2945.0,1106.0,2119.0,3.4265015663761487,3.447735146345781,0.1378165988110274,0.1197767575582227,0.0008920606601248,0.0020373514431239,9.83815933345902,0.0018083182640144,0.562057574327513
"Alicante, Spain",ES,False,0.5.0,0.0097278709502902,0.0113779778143077,0.0005659364720258,0.0028930620243985,0.1760535296450189,0.9900717645105088,0.3173867839115298,1.0617751066015713,1.0721627864557248,8.996847413828563e-05,0.0001510092337086,9.91025127050069e-05,0.0001676490792109,0.013686426951733,0.0257967174505041,0.8383403267305509,0.6663326886429595,0.2779850937672093,0.0033085798082294,0.6579118028534371,0.491200942493189,1.4188999605165489,0.0252672497570456,0.14550673437845,70.91799287437352,135.92166913517806,0.0458079269956725,0.7521865889212828,0.2316184588209317,1578.0,3870.0,7.780191685802766,19.080698240847088,5.483255974558204,4.268067952616036,0.4077519379844961,3.943634596695821,2.945904173106646,159.63362516489832,906.340117044707,0.5546971032482976,0.9995662035474888,287.7852150842078,906.7334548007728,0.95868557720114,0.973866131745568,0.9996160079413052,0.9999774607023184,0.6584044568080449,0.233576269019307,0.2966621841269992,0.3617422726810457,1.4761866372509649,0.5059596205302846,0.2369380315917375,1.1165317838719386,80.0,3.0,4058.0,6671.0,2058.0,4529.0,3.534716611577218,3.550485883014248,0.0439284683685827,0.0298419619405269,0.0,0.0008994153800029,4.47057039688225,0.0145772594752186,0.6228748068006182
"Alkmaar, Netherlands",NL,False,0.5.0,0.0023244443082293,0.0123793895152449,2.9244507015517976e-05,0.0012701238283636,0.1175816542885132,0.9990300362324904,0.4464620269593997,1.03495416421125,1.1255069737443184,7.312059357566628e-05,0.0001713927854657,7.413630610918974e-05,0.0001862263106161,0.0006761325219743,0.0268489086670904,0.8362612882364042,0.4998165490769122,0.7545650354379424,0.0040345465292732,0.5161726891324943,0.4157124681933842,1.8866260456094592,0.0482758620689655,0.2863954227590591,58.02820079544793,126.4265902062078,0.0490278719388398,0.4174442190669371,0.0645263827082009,1219.0,2245.0,10.391296513092463,19.137375448640345,5.507872923346418,4.528778479109205,0.5429844097995545,3.094523326572008,2.4926891290527653,58.28742012782981,495.6277201527361,0.263363169067917,0.9998165490769134,221.3195578338384,495.7186601985408,0.9842736285137614,0.9473457413902462,0.9999263715763792,0.9998797745361138,0.6538653357992947,0.3884954004176308,0.3313075619923079,0.3225577738069868,1.333334704077093,0.3078172588832487,0.1235883569269922,1.086177136821907,167.0,2.0,3814.0,3921.0,2465.0,3146.0,3.478273372839856,3.450318641930551,0.0935042972880906,0.1175690998342264,0.0,0.0030604437643458,4.22572566463984,0.0770791075050709,0.64907819453274
"Allen, United States",US,False,0.5.0,0.0346130438057087,0.0096099530818577,0.0013922728854855,0.0021191273304662,0.0182095977287381,1.0,0.0351840567773251,1.1526958879673812,1.047084741277002,0.0001389442175807,7.675161465147727e-05,0.0001481895853114,8.146227061990957e-05,0.0155945419103313,0.0286313141898972,0.7322347437837651,0.4999612913313098,0.2104256678899854,0.0009254535808059,0.6390532544378699,0.4656461871811002,0.0721136463427523,0.0,0.2194508488786418,234.68009651370545,324.3924420731288,0.6611320270508118,0.6608187134502924,0.2307692307692307,113.0,3724.0,0.1071703455068195,3.531879351038902,1.4861312794730224,1.7231945674607267,0.0303437164339419,3.789473684210526,2.7927059316705094,39.352806248541285,2161.018795692472,0.5175525336371558,0.9999612913313076,76.03635127044056,2161.102449091184,0.9379795572863804,0.9708368729226728,0.9944794384359305,0.9999858034146988,0.6966606909835937,0.0288345864661654,0.4059588236110252,0.2907018673725685,2.29164800028069,0.5014836795252225,0.1984900912236552,1.124567545577492,16.0,2.0,324.0,6662.0,171.0,4771.0,3.074950034180659,2.7020436873754607,0.4093457812332641,0.641410625935571,0.0123456790123456,0.0027018913239267,2.049611470307399,0.0,0.5497799203521274
