place_id,place_key,geom_source,year,value,numerator,denominator,measure_type,source,sample_n,notes
Darmstadt,darmstadt,legacy,,19.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Trier,trier,legacy,,8.8,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Freiburg im Breisgau,freiburg im breisgau,legacy,,29.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Regensburg,regensburg,legacy,,19.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Frankfurt (Oder),frankfurt (oder),legacy,,8.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Weimar,weimar,legacy,,7.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Schwerin,schwerin,legacy,,12.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Erfurt,erfurt,legacy,,11.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Augsburg,augsburg,legacy,,13.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Bonn,bonn,legacy,,17.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Karlsruhe,karlsruhe,legacy,,21.8,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Mönchengladbach,monchengladbach,legacy,,5.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Mainz,mainz,legacy,,8.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Kiel,kiel,legacy,,21.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Saarbrücken,saarbrucken,legacy,,3.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Potsdam,potsdam,legacy,,18.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Koblenz,koblenz,legacy,,9.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Rostock,rostock,legacy,,19.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Kaiserslautern,kaiserslautern,legacy,,4.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Iserlohn,iserlohn,legacy,,1.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Esslingen am Neckar,esslingen am neckar,legacy,,6.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Hanau,hanau,legacy,,5.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Wilhelmshaven,wilhelmshaven,legacy,,19.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Ludwigsburg,ludwigsburg,legacy,,3.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Tübingen,tubingen,legacy,,19.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Villingen-Schwenningen,villingen-schwenningen,legacy,,5.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Flensburg,flensburg,legacy,,10.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Marburg,marburg,legacy,,9.8,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Konstanz,konstanz,legacy,,26.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Neumünster,neumunster,legacy,,15.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Brandenburg an der Havel,brandenburg an der havel,legacy,,19.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Gießen,gießen,legacy,,15.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Lüneburg,luneburg,legacy,,25.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Bayreuth,bayreuth,legacy,,18.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Celle,celle,legacy,,25.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Aschaffenburg,aschaffenburg,legacy,,9.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Bamberg,bamberg,legacy,,23.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Plauen,plauen,legacy,,2.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Neubrandenburg,neubrandenburg,legacy,,15.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Fulda,fulda,legacy,,5.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Kempten (Allgäu),kempten (allgau),legacy,,9.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Landshut,landshut,legacy,,11.8,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Sindelfingen,sindelfingen,legacy,,9.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Rosenheim,rosenheim,legacy,,25.8,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Frankenthal (Pfalz),frankenthal (pfalz),legacy,,11.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
